episode_reward,coop_rate,opp_coop_rate,reward_difference,episode
29.0,0.42857142857142855,1.0,2.8571428571428577,1
31.0,0.2857142857142857,1.0,3.5714285714285716,2
33.0,0.14285714285714285,1.0,4.285714285714286,3
31.0,0.2857142857142857,1.0,3.5714285714285716,4
29.0,0.42857142857142855,1.0,2.8571428571428577,5
35.0,0.0,1.0,5.0,6
31.0,0.2857142857142857,1.0,3.5714285714285716,7
35.0,0.0,1.0,5.0,8
29.0,0.42857142857142855,1.0,2.8571428571428577,9
35.0,0.0,1.0,5.0,10
35.0,0.0,1.0,5.0,11
35.0,0.0,1.0,5.0,12
29.0,0.42857142857142855,1.0,2.8571428571428577,13
35.0,0.0,1.0,5.0,14
35.0,0.0,1.0,5.0,15
35.0,0.0,1.0,5.0,16
35.0,0.0,1.0,5.0,17
35.0,0.0,1.0,5.0,18
35.0,0.0,1.0,5.0,19
35.0,0.0,1.0,5.0,20
35.0,0.0,1.0,5.0,21
35.0,0.0,1.0,5.0,22
35.0,0.0,1.0,5.0,23
35.0,0.0,1.0,5.0,24
35.0,0.0,1.0,5.0,25
35.0,0.0,1.0,5.0,26
35.0,0.0,1.0,5.0,27
35.0,0.0,1.0,5.0,28
35.0,0.0,1.0,5.0,29
35.0,0.0,1.0,5.0,30
35.0,0.0,1.0,5.0,31
33.0,0.14285714285714285,1.0,4.285714285714286,32
35.0,0.0,1.0,5.0,33
35.0,0.0,1.0,5.0,34
35.0,0.0,1.0,5.0,35
35.0,0.0,1.0,5.0,36
35.0,0.0,1.0,5.0,37
35.0,0.0,1.0,5.0,38
35.0,0.0,1.0,5.0,39
35.0,0.0,1.0,5.0,40
35.0,0.0,1.0,5.0,41
35.0,0.0,1.0,5.0,42
35.0,0.0,1.0,5.0,43
35.0,0.0,1.0,5.0,44
35.0,0.0,1.0,5.0,45
35.0,0.0,1.0,5.0,46
35.0,0.0,1.0,5.0,47
35.0,0.0,1.0,5.0,48
35.0,0.0,1.0,5.0,49
35.0,0.0,1.0,5.0,50
31.0,0.2857142857142857,1.0,3.5714285714285716,51
35.0,0.0,1.0,5.0,52
35.0,0.0,1.0,5.0,53
35.0,0.0,1.0,5.0,54
35.0,0.0,1.0,5.0,55
35.0,0.0,1.0,5.0,56
35.0,0.0,1.0,5.0,57
35.0,0.0,1.0,5.0,58
35.0,0.0,1.0,5.0,59
35.0,0.0,1.0,5.0,60
35.0,0.0,1.0,5.0,61
35.0,0.0,1.0,5.0,62
35.0,0.0,1.0,5.0,63
35.0,0.0,1.0,5.0,64
35.0,0.0,1.0,5.0,65
35.0,0.0,1.0,5.0,66
35.0,0.0,1.0,5.0,67
35.0,0.0,1.0,5.0,68
35.0,0.0,1.0,5.0,69
35.0,0.0,1.0,5.0,70
35.0,0.0,1.0,5.0,71
35.0,0.0,1.0,5.0,72
33.0,0.14285714285714285,1.0,4.285714285714286,73
35.0,0.0,1.0,5.0,74
35.0,0.0,1.0,5.0,75
35.0,0.0,1.0,5.0,76
35.0,0.0,1.0,5.0,77
35.0,0.0,1.0,5.0,78
35.0,0.0,1.0,5.0,79
35.0,0.0,1.0,5.0,80
35.0,0.0,1.0,5.0,81
35.0,0.0,1.0,5.0,82
35.0,0.0,1.0,5.0,83
35.0,0.0,1.0,5.0,84
35.0,0.0,1.0,5.0,85
35.0,0.0,1.0,5.0,86
35.0,0.0,1.0,5.0,87
35.0,0.0,1.0,5.0,88
35.0,0.0,1.0,5.0,89
35.0,0.0,1.0,5.0,90
35.0,0.0,1.0,5.0,91
35.0,0.0,1.0,5.0,92
35.0,0.0,1.0,5.0,93
35.0,0.0,1.0,5.0,94
35.0,0.0,1.0,5.0,95
35.0,0.0,1.0,5.0,96
35.0,0.0,1.0,5.0,97
35.0,0.0,1.0,5.0,98
35.0,0.0,1.0,5.0,99
35.0,0.0,1.0,5.0,100
35.0,0.0,1.0,5.0,101
35.0,0.0,1.0,5.0,102
35.0,0.0,1.0,5.0,103
35.0,0.0,1.0,5.0,104
35.0,0.0,1.0,5.0,105
35.0,0.0,1.0,5.0,106
35.0,0.0,1.0,5.0,107
35.0,0.0,1.0,5.0,108
35.0,0.0,1.0,5.0,109
35.0,0.0,1.0,5.0,110
35.0,0.0,1.0,5.0,111
35.0,0.0,1.0,5.0,112
35.0,0.0,1.0,5.0,113
35.0,0.0,1.0,5.0,114
33.0,0.14285714285714285,1.0,4.285714285714286,115
35.0,0.0,1.0,5.0,116
35.0,0.0,1.0,5.0,117
35.0,0.0,1.0,5.0,118
35.0,0.0,1.0,5.0,119
35.0,0.0,1.0,5.0,120
35.0,0.0,1.0,5.0,121
35.0,0.0,1.0,5.0,122
35.0,0.0,1.0,5.0,123
35.0,0.0,1.0,5.0,124
35.0,0.0,1.0,5.0,125
35.0,0.0,1.0,5.0,126
35.0,0.0,1.0,5.0,127
35.0,0.0,1.0,5.0,128
35.0,0.0,1.0,5.0,129
35.0,0.0,1.0,5.0,130
35.0,0.0,1.0,5.0,131
35.0,0.0,1.0,5.0,132
35.0,0.0,1.0,5.0,133
35.0,0.0,1.0,5.0,134
35.0,0.0,1.0,5.0,135
35.0,0.0,1.0,5.0,136
35.0,0.0,1.0,5.0,137
35.0,0.0,1.0,5.0,138
33.0,0.14285714285714285,1.0,4.285714285714286,139
35.0,0.0,1.0,5.0,140
35.0,0.0,1.0,5.0,141
35.0,0.0,1.0,5.0,142
35.0,0.0,1.0,5.0,143
35.0,0.0,1.0,5.0,144
35.0,0.0,1.0,5.0,145
35.0,0.0,1.0,5.0,146
35.0,0.0,1.0,5.0,147
35.0,0.0,1.0,5.0,148
35.0,0.0,1.0,5.0,149
35.0,0.0,1.0,5.0,150
35.0,0.0,1.0,5.0,151
35.0,0.0,1.0,5.0,152
35.0,0.0,1.0,5.0,153
35.0,0.0,1.0,5.0,154
35.0,0.0,1.0,5.0,155
35.0,0.0,1.0,5.0,156
35.0,0.0,1.0,5.0,157
35.0,0.0,1.0,5.0,158
35.0,0.0,1.0,5.0,159
35.0,0.0,1.0,5.0,160
35.0,0.0,1.0,5.0,161
35.0,0.0,1.0,5.0,162
35.0,0.0,1.0,5.0,163
35.0,0.0,1.0,5.0,164
35.0,0.0,1.0,5.0,165
35.0,0.0,1.0,5.0,166
35.0,0.0,1.0,5.0,167
35.0,0.0,1.0,5.0,168
35.0,0.0,1.0,5.0,169
35.0,0.0,1.0,5.0,170
35.0,0.0,1.0,5.0,171
35.0,0.0,1.0,5.0,172
35.0,0.0,1.0,5.0,173
35.0,0.0,1.0,5.0,174
35.0,0.0,1.0,5.0,175
35.0,0.0,1.0,5.0,176
35.0,0.0,1.0,5.0,177
35.0,0.0,1.0,5.0,178
35.0,0.0,1.0,5.0,179
35.0,0.0,1.0,5.0,180
35.0,0.0,1.0,5.0,181
35.0,0.0,1.0,5.0,182
35.0,0.0,1.0,5.0,183
35.0,0.0,1.0,5.0,184
35.0,0.0,1.0,5.0,185
35.0,0.0,1.0,5.0,186
35.0,0.0,1.0,5.0,187
35.0,0.0,1.0,5.0,188
35.0,0.0,1.0,5.0,189
35.0,0.0,1.0,5.0,190
35.0,0.0,1.0,5.0,191
35.0,0.0,1.0,5.0,192
35.0,0.0,1.0,5.0,193
35.0,0.0,1.0,5.0,194
35.0,0.0,1.0,5.0,195
35.0,0.0,1.0,5.0,196
35.0,0.0,1.0,5.0,197
35.0,0.0,1.0,5.0,198
35.0,0.0,1.0,5.0,199
35.0,0.0,1.0,5.0,200
35.0,0.0,1.0,5.0,201
35.0,0.0,1.0,5.0,202
35.0,0.0,1.0,5.0,203
35.0,0.0,1.0,5.0,204
35.0,0.0,1.0,5.0,205
35.0,0.0,1.0,5.0,206
35.0,0.0,1.0,5.0,207
35.0,0.0,1.0,5.0,208
35.0,0.0,1.0,5.0,209
35.0,0.0,1.0,5.0,210
35.0,0.0,1.0,5.0,211
35.0,0.0,1.0,5.0,212
35.0,0.0,1.0,5.0,213
35.0,0.0,1.0,5.0,214
35.0,0.0,1.0,5.0,215
35.0,0.0,1.0,5.0,216
35.0,0.0,1.0,5.0,217
35.0,0.0,1.0,5.0,218
35.0,0.0,1.0,5.0,219
35.0,0.0,1.0,5.0,220
35.0,0.0,1.0,5.0,221
35.0,0.0,1.0,5.0,222
35.0,0.0,1.0,5.0,223
35.0,0.0,1.0,5.0,224
35.0,0.0,1.0,5.0,225
35.0,0.0,1.0,5.0,226
35.0,0.0,1.0,5.0,227
35.0,0.0,1.0,5.0,228
35.0,0.0,1.0,5.0,229
35.0,0.0,1.0,5.0,230
35.0,0.0,1.0,5.0,231
35.0,0.0,1.0,5.0,232
35.0,0.0,1.0,5.0,233
35.0,0.0,1.0,5.0,234
35.0,0.0,1.0,5.0,235
35.0,0.0,1.0,5.0,236
35.0,0.0,1.0,5.0,237
35.0,0.0,1.0,5.0,238
35.0,0.0,1.0,5.0,239
35.0,0.0,1.0,5.0,240
35.0,0.0,1.0,5.0,241
35.0,0.0,1.0,5.0,242
35.0,0.0,1.0,5.0,243
35.0,0.0,1.0,5.0,244
35.0,0.0,1.0,5.0,245
35.0,0.0,1.0,5.0,246
35.0,0.0,1.0,5.0,247
35.0,0.0,1.0,5.0,248
35.0,0.0,1.0,5.0,249
35.0,0.0,1.0,5.0,250
35.0,0.0,1.0,5.0,251
35.0,0.0,1.0,5.0,252
35.0,0.0,1.0,5.0,253
35.0,0.0,1.0,5.0,254
35.0,0.0,1.0,5.0,255
35.0,0.0,1.0,5.0,256
35.0,0.0,1.0,5.0,257
35.0,0.0,1.0,5.0,258
35.0,0.0,1.0,5.0,259
35.0,0.0,1.0,5.0,260
35.0,0.0,1.0,5.0,261
35.0,0.0,1.0,5.0,262
35.0,0.0,1.0,5.0,263
35.0,0.0,1.0,5.0,264
35.0,0.0,1.0,5.0,265
35.0,0.0,1.0,5.0,266
35.0,0.0,1.0,5.0,267
35.0,0.0,1.0,5.0,268
35.0,0.0,1.0,5.0,269
35.0,0.0,1.0,5.0,270
35.0,0.0,1.0,5.0,271
35.0,0.0,1.0,5.0,272
35.0,0.0,1.0,5.0,273
35.0,0.0,1.0,5.0,274
35.0,0.0,1.0,5.0,275
35.0,0.0,1.0,5.0,276
35.0,0.0,1.0,5.0,277
35.0,0.0,1.0,5.0,278
35.0,0.0,1.0,5.0,279
35.0,0.0,1.0,5.0,280
35.0,0.0,1.0,5.0,281
35.0,0.0,1.0,5.0,282
35.0,0.0,1.0,5.0,283
35.0,0.0,1.0,5.0,284
35.0,0.0,1.0,5.0,285
35.0,0.0,1.0,5.0,286
35.0,0.0,1.0,5.0,287
35.0,0.0,1.0,5.0,288
35.0,0.0,1.0,5.0,289
35.0,0.0,1.0,5.0,290
35.0,0.0,1.0,5.0,291
35.0,0.0,1.0,5.0,292
35.0,0.0,1.0,5.0,293
35.0,0.0,1.0,5.0,294
35.0,0.0,1.0,5.0,295
35.0,0.0,1.0,5.0,296
35.0,0.0,1.0,5.0,297
35.0,0.0,1.0,5.0,298
35.0,0.0,1.0,5.0,299
35.0,0.0,1.0,5.0,300
35.0,0.0,1.0,5.0,301
35.0,0.0,1.0,5.0,302
35.0,0.0,1.0,5.0,303
35.0,0.0,1.0,5.0,304
35.0,0.0,1.0,5.0,305
35.0,0.0,1.0,5.0,306
35.0,0.0,1.0,5.0,307
35.0,0.0,1.0,5.0,308
35.0,0.0,1.0,5.0,309
35.0,0.0,1.0,5.0,310
29.0,0.42857142857142855,1.0,2.8571428571428577,311
35.0,0.0,1.0,5.0,312
35.0,0.0,1.0,5.0,313
35.0,0.0,1.0,5.0,314
35.0,0.0,1.0,5.0,315
35.0,0.0,1.0,5.0,316
35.0,0.0,1.0,5.0,317
35.0,0.0,1.0,5.0,318
35.0,0.0,1.0,5.0,319
35.0,0.0,1.0,5.0,320
35.0,0.0,1.0,5.0,321
35.0,0.0,1.0,5.0,322
35.0,0.0,1.0,5.0,323
35.0,0.0,1.0,5.0,324
35.0,0.0,1.0,5.0,325
35.0,0.0,1.0,5.0,326
35.0,0.0,1.0,5.0,327
35.0,0.0,1.0,5.0,328
35.0,0.0,1.0,5.0,329
29.0,0.42857142857142855,1.0,2.8571428571428577,330
35.0,0.0,1.0,5.0,331
35.0,0.0,1.0,5.0,332
35.0,0.0,1.0,5.0,333
35.0,0.0,1.0,5.0,334
35.0,0.0,1.0,5.0,335
35.0,0.0,1.0,5.0,336
35.0,0.0,1.0,5.0,337
35.0,0.0,1.0,5.0,338
35.0,0.0,1.0,5.0,339
35.0,0.0,1.0,5.0,340
35.0,0.0,1.0,5.0,341
35.0,0.0,1.0,5.0,342
35.0,0.0,1.0,5.0,343
35.0,0.0,1.0,5.0,344
35.0,0.0,1.0,5.0,345
35.0,0.0,1.0,5.0,346
35.0,0.0,1.0,5.0,347
35.0,0.0,1.0,5.0,348
35.0,0.0,1.0,5.0,349
35.0,0.0,1.0,5.0,350
35.0,0.0,1.0,5.0,351
35.0,0.0,1.0,5.0,352
35.0,0.0,1.0,5.0,353
35.0,0.0,1.0,5.0,354
35.0,0.0,1.0,5.0,355
35.0,0.0,1.0,5.0,356
35.0,0.0,1.0,5.0,357
35.0,0.0,1.0,5.0,358
35.0,0.0,1.0,5.0,359
35.0,0.0,1.0,5.0,360
35.0,0.0,1.0,5.0,361
35.0,0.0,1.0,5.0,362
35.0,0.0,1.0,5.0,363
35.0,0.0,1.0,5.0,364
35.0,0.0,1.0,5.0,365
35.0,0.0,1.0,5.0,366
35.0,0.0,1.0,5.0,367
35.0,0.0,1.0,5.0,368
35.0,0.0,1.0,5.0,369
35.0,0.0,1.0,5.0,370
35.0,0.0,1.0,5.0,371
35.0,0.0,1.0,5.0,372
35.0,0.0,1.0,5.0,373
35.0,0.0,1.0,5.0,374
35.0,0.0,1.0,5.0,375
35.0,0.0,1.0,5.0,376
35.0,0.0,1.0,5.0,377
35.0,0.0,1.0,5.0,378
35.0,0.0,1.0,5.0,379
35.0,0.0,1.0,5.0,380
35.0,0.0,1.0,5.0,381
35.0,0.0,1.0,5.0,382
35.0,0.0,1.0,5.0,383
35.0,0.0,1.0,5.0,384
35.0,0.0,1.0,5.0,385
35.0,0.0,1.0,5.0,386
35.0,0.0,1.0,5.0,387
35.0,0.0,1.0,5.0,388
35.0,0.0,1.0,5.0,389
35.0,0.0,1.0,5.0,390
35.0,0.0,1.0,5.0,391
35.0,0.0,1.0,5.0,392
35.0,0.0,1.0,5.0,393
35.0,0.0,1.0,5.0,394
35.0,0.0,1.0,5.0,395
35.0,0.0,1.0,5.0,396
35.0,0.0,1.0,5.0,397
35.0,0.0,1.0,5.0,398
35.0,0.0,1.0,5.0,399
35.0,0.0,1.0,5.0,400
35.0,0.0,1.0,5.0,401
35.0,0.0,1.0,5.0,402
35.0,0.0,1.0,5.0,403
35.0,0.0,1.0,5.0,404
35.0,0.0,1.0,5.0,405
35.0,0.0,1.0,5.0,406
35.0,0.0,1.0,5.0,407
35.0,0.0,1.0,5.0,408
35.0,0.0,1.0,5.0,409
35.0,0.0,1.0,5.0,410
35.0,0.0,1.0,5.0,411
29.0,0.42857142857142855,1.0,2.8571428571428577,412
35.0,0.0,1.0,5.0,413
35.0,0.0,1.0,5.0,414
35.0,0.0,1.0,5.0,415
35.0,0.0,1.0,5.0,416
35.0,0.0,1.0,5.0,417
35.0,0.0,1.0,5.0,418
35.0,0.0,1.0,5.0,419
35.0,0.0,1.0,5.0,420
35.0,0.0,1.0,5.0,421
35.0,0.0,1.0,5.0,422
35.0,0.0,1.0,5.0,423
35.0,0.0,1.0,5.0,424
35.0,0.0,1.0,5.0,425
35.0,0.0,1.0,5.0,426
35.0,0.0,1.0,5.0,427
35.0,0.0,1.0,5.0,428
35.0,0.0,1.0,5.0,429
35.0,0.0,1.0,5.0,430
35.0,0.0,1.0,5.0,431
35.0,0.0,1.0,5.0,432
35.0,0.0,1.0,5.0,433
35.0,0.0,1.0,5.0,434
35.0,0.0,1.0,5.0,435
35.0,0.0,1.0,5.0,436
35.0,0.0,1.0,5.0,437
35.0,0.0,1.0,5.0,438
35.0,0.0,1.0,5.0,439
35.0,0.0,1.0,5.0,440
35.0,0.0,1.0,5.0,441
35.0,0.0,1.0,5.0,442
35.0,0.0,1.0,5.0,443
35.0,0.0,1.0,5.0,444
35.0,0.0,1.0,5.0,445
35.0,0.0,1.0,5.0,446
35.0,0.0,1.0,5.0,447
35.0,0.0,1.0,5.0,448
35.0,0.0,1.0,5.0,449
35.0,0.0,1.0,5.0,450
35.0,0.0,1.0,5.0,451
35.0,0.0,1.0,5.0,452
35.0,0.0,1.0,5.0,453
35.0,0.0,1.0,5.0,454
35.0,0.0,1.0,5.0,455
35.0,0.0,1.0,5.0,456
35.0,0.0,1.0,5.0,457
35.0,0.0,1.0,5.0,458
35.0,0.0,1.0,5.0,459
35.0,0.0,1.0,5.0,460
35.0,0.0,1.0,5.0,461
35.0,0.0,1.0,5.0,462
35.0,0.0,1.0,5.0,463
35.0,0.0,1.0,5.0,464
35.0,0.0,1.0,5.0,465
35.0,0.0,1.0,5.0,466
35.0,0.0,1.0,5.0,467
35.0,0.0,1.0,5.0,468
35.0,0.0,1.0,5.0,469
35.0,0.0,1.0,5.0,470
35.0,0.0,1.0,5.0,471
35.0,0.0,1.0,5.0,472
35.0,0.0,1.0,5.0,473
35.0,0.0,1.0,5.0,474
35.0,0.0,1.0,5.0,475
35.0,0.0,1.0,5.0,476
35.0,0.0,1.0,5.0,477
35.0,0.0,1.0,5.0,478
35.0,0.0,1.0,5.0,479
35.0,0.0,1.0,5.0,480
35.0,0.0,1.0,5.0,481
35.0,0.0,1.0,5.0,482
35.0,0.0,1.0,5.0,483
35.0,0.0,1.0,5.0,484
35.0,0.0,1.0,5.0,485
