episode_reward,coop_rate,opp_coop_rate,reward_difference,episode
21.0,1.0,1.0,0.0,1
21.0,1.0,1.0,0.0,2
21.0,1.0,1.0,0.0,3
21.0,1.0,1.0,0.0,4
21.0,1.0,1.0,0.0,5
19.0,0.7142857142857143,0.7142857142857143,0.0,6
23.0,0.8571428571428571,1.0,0.714285714285714,7
20.0,0.8571428571428571,0.8571428571428571,0.0,8
21.0,1.0,1.0,0.0,9
21.0,1.0,1.0,0.0,10
21.0,1.0,1.0,0.0,11
21.0,1.0,1.0,0.0,12
20.0,0.8571428571428571,0.8571428571428571,0.0,13
20.0,0.8571428571428571,0.8571428571428571,0.0,14
23.0,0.8571428571428571,1.0,0.714285714285714,15
21.0,1.0,1.0,0.0,16
21.0,1.0,1.0,0.0,17
21.0,1.0,1.0,0.0,18
21.0,1.0,1.0,0.0,19
21.0,1.0,1.0,0.0,20
21.0,1.0,1.0,0.0,21
21.0,1.0,1.0,0.0,22
21.0,1.0,1.0,0.0,23
23.0,0.8571428571428571,1.0,0.714285714285714,24
21.0,1.0,1.0,0.0,25
21.0,1.0,1.0,0.0,26
21.0,1.0,1.0,0.0,27
22.0,0.7142857142857143,0.8571428571428571,0.7142857142857144,28
21.0,1.0,1.0,0.0,29
21.0,1.0,1.0,0.0,30
20.0,0.8571428571428571,0.8571428571428571,0.0,31
20.0,0.8571428571428571,0.8571428571428571,0.0,32
16.0,0.5714285714285714,0.5714285714285714,0.0,33
16.0,0.2857142857142857,0.42857142857142855,0.7142857142857142,34
18.0,0.7142857142857143,0.7142857142857143,0.0,35
16.0,0.5714285714285714,0.5714285714285714,0.0,36
16.0,0.5714285714285714,0.5714285714285714,0.0,37
16.0,0.5714285714285714,0.5714285714285714,0.0,38
14.0,0.42857142857142855,0.42857142857142855,0.0,39
19.0,0.7142857142857143,0.7142857142857143,0.0,40
14.0,0.42857142857142855,0.42857142857142855,0.0,41
16.0,0.5714285714285714,0.5714285714285714,0.0,42
16.0,0.5714285714285714,0.5714285714285714,0.0,43
16.0,0.5714285714285714,0.5714285714285714,0.0,44
15.0,0.42857142857142855,0.42857142857142855,0.0,45
16.0,0.5714285714285714,0.5714285714285714,0.0,46
16.0,0.5714285714285714,0.5714285714285714,0.0,47
16.0,0.5714285714285714,0.5714285714285714,0.0,48
16.0,0.5714285714285714,0.5714285714285714,0.0,49
16.0,0.5714285714285714,0.5714285714285714,0.0,50
16.0,0.5714285714285714,0.5714285714285714,0.0,51
16.0,0.42857142857142855,0.42857142857142855,0.0,52
18.0,0.7142857142857143,0.7142857142857143,0.0,53
14.0,0.42857142857142855,0.42857142857142855,0.0,54
17.0,0.5714285714285714,0.5714285714285714,0.0,55
21.0,1.0,1.0,0.0,56
21.0,1.0,1.0,0.0,57
21.0,1.0,1.0,0.0,58
21.0,1.0,1.0,0.0,59
21.0,1.0,1.0,0.0,60
21.0,1.0,1.0,0.0,61
23.0,0.8571428571428571,1.0,0.714285714285714,62
21.0,1.0,1.0,0.0,63
20.0,0.8571428571428571,0.8571428571428571,0.0,64
21.0,1.0,1.0,0.0,65
21.0,1.0,1.0,0.0,66
21.0,1.0,1.0,0.0,67
20.0,0.8571428571428571,0.8571428571428571,0.0,68
21.0,1.0,1.0,0.0,69
21.0,1.0,1.0,0.0,70
21.0,1.0,1.0,0.0,71
21.0,1.0,1.0,0.0,72
20.0,0.8571428571428571,0.8571428571428571,0.0,73
21.0,1.0,1.0,0.0,74
21.0,1.0,1.0,0.0,75
21.0,1.0,1.0,0.0,76
21.0,1.0,1.0,0.0,77
21.0,1.0,1.0,0.0,78
21.0,1.0,1.0,0.0,79
21.0,1.0,1.0,0.0,80
20.0,0.8571428571428571,0.8571428571428571,0.0,81
21.0,1.0,1.0,0.0,82
21.0,1.0,1.0,0.0,83
21.0,1.0,1.0,0.0,84
21.0,1.0,1.0,0.0,85
21.0,1.0,1.0,0.0,86
20.0,0.8571428571428571,0.8571428571428571,0.0,87
21.0,1.0,1.0,0.0,88
21.0,1.0,1.0,0.0,89
20.0,0.8571428571428571,0.8571428571428571,0.0,90
21.0,1.0,1.0,0.0,91
21.0,1.0,1.0,0.0,92
21.0,1.0,1.0,0.0,93
21.0,1.0,1.0,0.0,94
21.0,1.0,1.0,0.0,95
21.0,1.0,1.0,0.0,96
21.0,1.0,1.0,0.0,97
21.0,1.0,1.0,0.0,98
21.0,1.0,1.0,0.0,99
21.0,1.0,1.0,0.0,100
21.0,1.0,1.0,0.0,101
18.0,0.42857142857142855,0.5714285714285714,0.7142857142857144,102
21.0,1.0,1.0,0.0,103
20.0,0.5714285714285714,0.7142857142857143,0.7142857142857144,104
21.0,1.0,1.0,0.0,105
21.0,1.0,1.0,0.0,106
21.0,1.0,1.0,0.0,107
21.0,1.0,1.0,0.0,108
19.0,0.5714285714285714,0.7142857142857143,0.7142857142857144,109
21.0,1.0,1.0,0.0,110
21.0,1.0,1.0,0.0,111
21.0,1.0,1.0,0.0,112
21.0,1.0,1.0,0.0,113
21.0,1.0,1.0,0.0,114
16.0,0.2857142857142857,0.42857142857142855,0.7142857142857142,115
21.0,1.0,1.0,0.0,116
21.0,1.0,1.0,0.0,117
23.0,0.8571428571428571,1.0,0.714285714285714,118
21.0,1.0,1.0,0.0,119
20.0,0.8571428571428571,0.8571428571428571,0.0,120
21.0,0.5714285714285714,0.7142857142857143,0.7142857142857144,121
20.0,0.8571428571428571,0.8571428571428571,0.0,122
21.0,1.0,1.0,0.0,123
19.0,0.7142857142857143,0.7142857142857143,0.0,124
21.0,1.0,1.0,0.0,125
21.0,1.0,1.0,0.0,126
21.0,1.0,1.0,0.0,127
21.0,1.0,1.0,0.0,128
21.0,1.0,1.0,0.0,129
20.0,0.8571428571428571,0.8571428571428571,0.0,130
21.0,1.0,1.0,0.0,131
21.0,1.0,1.0,0.0,132
22.0,0.7142857142857143,0.8571428571428571,0.7142857142857144,133
19.0,0.7142857142857143,0.7142857142857143,0.0,134
20.0,0.8571428571428571,0.8571428571428571,0.0,135
21.0,1.0,1.0,0.0,136
