episode_reward,coop_rate,opp_coop_rate,reward_difference,episode
22.0,0.7142857142857143,0.8571428571428571,0.7142857142857144,1
18.0,0.7142857142857143,0.7142857142857143,0.0,2
20.0,0.8571428571428571,0.8571428571428571,0.0,3
20.0,0.8571428571428571,0.8571428571428571,0.0,4
19.0,0.7142857142857143,0.7142857142857143,0.0,5
21.0,1.0,1.0,0.0,6
18.0,0.7142857142857143,0.7142857142857143,0.0,7
14.0,0.42857142857142855,0.42857142857142855,0.0,8
20.0,0.8571428571428571,0.8571428571428571,0.0,9
16.0,0.5714285714285714,0.5714285714285714,0.0,10
16.0,0.5714285714285714,0.5714285714285714,0.0,11
20.0,0.8571428571428571,0.8571428571428571,0.0,12
20.0,0.8571428571428571,0.8571428571428571,0.0,13
16.0,0.5714285714285714,0.5714285714285714,0.0,14
18.0,0.7142857142857143,0.7142857142857143,0.0,15
23.0,0.8571428571428571,1.0,0.714285714285714,16
20.0,0.8571428571428571,0.8571428571428571,0.0,17
16.0,0.5714285714285714,0.5714285714285714,0.0,18
18.0,0.7142857142857143,0.7142857142857143,0.0,19
21.0,1.0,1.0,0.0,20
21.0,1.0,1.0,0.0,21
21.0,1.0,1.0,0.0,22
20.0,0.8571428571428571,0.8571428571428571,0.0,23
21.0,1.0,1.0,0.0,24
20.0,0.8571428571428571,0.8571428571428571,0.0,25
20.0,0.8571428571428571,0.8571428571428571,0.0,26
20.0,0.8571428571428571,0.8571428571428571,0.0,27
20.0,0.8571428571428571,0.8571428571428571,0.0,28
21.0,1.0,1.0,0.0,29
21.0,1.0,1.0,0.0,30
21.0,1.0,1.0,0.0,31
21.0,1.0,1.0,0.0,32
21.0,1.0,1.0,0.0,33
21.0,1.0,1.0,0.0,34
20.0,0.8571428571428571,0.8571428571428571,0.0,35
21.0,1.0,1.0,0.0,36
21.0,1.0,1.0,0.0,37
21.0,1.0,1.0,0.0,38
21.0,1.0,1.0,0.0,39
21.0,1.0,1.0,0.0,40
21.0,1.0,1.0,0.0,41
21.0,1.0,1.0,0.0,42
21.0,1.0,1.0,0.0,43
21.0,1.0,1.0,0.0,44
21.0,1.0,1.0,0.0,45
21.0,1.0,1.0,0.0,46
21.0,1.0,1.0,0.0,47
21.0,1.0,1.0,0.0,48
21.0,1.0,1.0,0.0,49
21.0,1.0,1.0,0.0,50
20.0,0.8571428571428571,0.8571428571428571,0.0,51
21.0,1.0,1.0,0.0,52
21.0,1.0,1.0,0.0,53
21.0,1.0,1.0,0.0,54
21.0,1.0,1.0,0.0,55
21.0,1.0,1.0,0.0,56
21.0,1.0,1.0,0.0,57
20.0,0.8571428571428571,0.8571428571428571,0.0,58
20.0,0.8571428571428571,0.8571428571428571,0.0,59
21.0,1.0,1.0,0.0,60
21.0,1.0,1.0,0.0,61
21.0,1.0,1.0,0.0,62
21.0,1.0,1.0,0.0,63
21.0,1.0,1.0,0.0,64
21.0,1.0,1.0,0.0,65
21.0,1.0,1.0,0.0,66
21.0,1.0,1.0,0.0,67
21.0,1.0,1.0,0.0,68
21.0,1.0,1.0,0.0,69
21.0,1.0,1.0,0.0,70
21.0,1.0,1.0,0.0,71
20.0,0.8571428571428571,0.8571428571428571,0.0,72
21.0,1.0,1.0,0.0,73
21.0,1.0,1.0,0.0,74
20.0,0.8571428571428571,0.8571428571428571,0.0,75
20.0,0.8571428571428571,0.8571428571428571,0.0,76
20.0,0.8571428571428571,0.8571428571428571,0.0,77
20.0,0.8571428571428571,0.8571428571428571,0.0,78
20.0,0.8571428571428571,0.8571428571428571,0.0,79
20.0,0.8571428571428571,0.8571428571428571,0.0,80
21.0,1.0,1.0,0.0,81
21.0,1.0,1.0,0.0,82
23.0,0.8571428571428571,1.0,0.714285714285714,83
20.0,0.8571428571428571,0.8571428571428571,0.0,84
20.0,0.8571428571428571,0.8571428571428571,0.0,85
20.0,0.8571428571428571,0.8571428571428571,0.0,86
21.0,1.0,1.0,0.0,87
21.0,1.0,1.0,0.0,88
18.0,0.7142857142857143,0.7142857142857143,0.0,89
21.0,1.0,1.0,0.0,90
21.0,1.0,1.0,0.0,91
21.0,1.0,1.0,0.0,92
21.0,1.0,1.0,0.0,93
21.0,1.0,1.0,0.0,94
21.0,1.0,1.0,0.0,95
21.0,1.0,1.0,0.0,96
21.0,1.0,1.0,0.0,97
21.0,1.0,1.0,0.0,98
21.0,1.0,1.0,0.0,99
21.0,1.0,1.0,0.0,100
21.0,1.0,1.0,0.0,101
21.0,1.0,1.0,0.0,102
19.0,0.7142857142857143,0.7142857142857143,0.0,103
21.0,1.0,1.0,0.0,104
21.0,1.0,1.0,0.0,105
21.0,1.0,1.0,0.0,106
21.0,1.0,1.0,0.0,107
20.0,0.5714285714285714,0.7142857142857143,0.7142857142857144,108
21.0,1.0,1.0,0.0,109
20.0,0.8571428571428571,0.8571428571428571,0.0,110
23.0,0.8571428571428571,1.0,0.714285714285714,111
20.0,0.8571428571428571,0.8571428571428571,0.0,112
21.0,1.0,1.0,0.0,113
21.0,1.0,1.0,0.0,114
21.0,1.0,1.0,0.0,115
21.0,1.0,1.0,0.0,116
21.0,1.0,1.0,0.0,117
21.0,1.0,1.0,0.0,118
21.0,1.0,1.0,0.0,119
20.0,0.8571428571428571,0.8571428571428571,0.0,120
20.0,0.8571428571428571,0.8571428571428571,0.0,121
21.0,1.0,1.0,0.0,122
20.0,0.8571428571428571,0.8571428571428571,0.0,123
21.0,1.0,1.0,0.0,124
20.0,0.8571428571428571,0.8571428571428571,0.0,125
19.0,0.5714285714285714,0.7142857142857143,0.7142857142857144,126
21.0,1.0,1.0,0.0,127
21.0,1.0,1.0,0.0,128
21.0,1.0,1.0,0.0,129
21.0,1.0,1.0,0.0,130
21.0,1.0,1.0,0.0,131
21.0,1.0,1.0,0.0,132
21.0,1.0,1.0,0.0,133
19.0,0.7142857142857143,0.7142857142857143,0.0,134
21.0,1.0,1.0,0.0,135
21.0,1.0,1.0,0.0,136
19.0,0.7142857142857143,0.7142857142857143,0.0,137
20.0,0.8571428571428571,0.8571428571428571,0.0,138
17.0,0.5714285714285714,0.5714285714285714,0.0,139
20.0,0.8571428571428571,0.8571428571428571,0.0,140
21.0,1.0,1.0,0.0,141
21.0,1.0,1.0,0.0,142
21.0,1.0,1.0,0.0,143
21.0,1.0,1.0,0.0,144
20.0,0.8571428571428571,0.8571428571428571,0.0,145
20.0,0.8571428571428571,0.8571428571428571,0.0,146
21.0,1.0,1.0,0.0,147
21.0,1.0,1.0,0.0,148
21.0,1.0,1.0,0.0,149
21.0,1.0,1.0,0.0,150
21.0,1.0,1.0,0.0,151
21.0,1.0,1.0,0.0,152
21.0,1.0,1.0,0.0,153
21.0,1.0,1.0,0.0,154
22.0,0.7142857142857143,0.8571428571428571,0.7142857142857144,155
20.0,0.8571428571428571,0.8571428571428571,0.0,156
21.0,1.0,1.0,0.0,157
